SVI Theme: Socioeconomic Status; Overall Socioeconomic Status (Percentile); NaturalBreaks
Data downloaded on 25-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2015-Percentage,Overall Socioeconomic Status-2014-Percentile
01001,Autauga County,Alabama,9,0.4145
01003,Baldwin County,Alabama,8.5,0.3372
01005,Barbour County,Alabama,13.2,0.9628
01007,Bibb County,Alabama,10.3,0.8201
01009,Blount County,Alabama,10.1,0.7348
01011,Bullock County,Alabama,11.6,0.958
01013,Butler County,Alabama,12.1,0.9373
01015,Calhoun County,Alabama,13,0.8421
01017,Chambers County,Alabama,10.9,0.8777
01019,Cherokee County,Alabama,7.8,0.7488
01021,Chilton County,Alabama,10.3,0.752
01023,Choctaw County,Alabama,11.2,0.8832
01025,Clarke County,Alabama,12.2,0.9204
01027,Clay County,Alabama,9.4,0.8555
01029,Cleburne County,Alabama,7.7,0.7673
01031,Coffee County,Alabama,11.4,0.5495
01033,Colbert County,Alabama,12.7,0.6874
01035,Conecuh County,Alabama,12.3,0.9885
01037,Coosa County,Alabama,9.2,0.936
01039,Covington County,Alabama,9.7,0.7918
01041,Crenshaw County,Alabama,9.2,0.7899
01043,Cullman County,Alabama,13.2,0.6899
01045,Dale County,Alabama,11.8,0.6886
01047,Dallas County,Alabama,13.3,0.9745
01049,Dekalb County,Alabama,8.9,0.8564
01051,Elmore County,Alabama,9.6,0.4123
01053,Escambia County,Alabama,15.6,0.9596
01055,Etowah County,Alabama,11.5,0.7781
01057,Fayette County,Alabama,10.6,0.8825
01059,Franklin County,Alabama,9.5,0.886
01061,Geneva County,Alabama,11.2,0.8523
01063,Greene County,Alabama,12.2,0.9924
01065,Hale County,Alabama,11.2,0.9284
01067,Henry County,Alabama,11.1,0.673
01069,Houston County,Alabama,11.4,0.5743
01071,Jackson County,Alabama,9.6,0.8106
01073,Jefferson County,Alabama,11.3,0.5056
01075,Lamar County,Alabama,9.8,0.8459
01077,Lauderdale County,Alabama,10.2,0.5642
01079,Lawrence County,Alabama,9,0.774
01081,Lee County,Alabama,8.7,0.5801
01083,Limestone County,Alabama,9.3,0.4734
01085,Lowndes County,Alabama,13.3,0.9793
01087,Macon County,Alabama,12.4,0.944
01089,Madison County,Alabama,10,0.2872
01091,Marengo County,Alabama,13.3,0.7638
01093,Marion County,Alabama,11.8,0.8542
01095,Marshall County,Alabama,10.2,0.7851
01097,Mobile County,Alabama,12.1,0.696
01099,Monroe County,Alabama,10.7,0.9733
01101,Montgomery County,Alabama,10.9,0.6036
01103,Morgan County,Alabama,9.9,0.611
01105,Perry County,Alabama,12.9,0.9971
01107,Pickens County,Alabama,10.9,0.9545
01109,Pike County,Alabama,9.5,0.8567
01111,Randolph County,Alabama,9.5,0.9077
01113,Russell County,Alabama,9.6,0.8571
01117,Shelby County,Alabama,7.4,0.0767
01115,St. Clair County,Alabama,10.1,0.5931
01119,Sumter County,Alabama,13.9,0.986
01121,Talladega County,Alabama,12.5,0.9099
01123,Tallapoosa County,Alabama,11.2,0.7908
01125,Tuscaloosa County,Alabama,11.9,0.5447
01127,Walker County,Alabama,11.2,0.8905
01129,Washington County,Alabama,11.5,0.7752
01131,Wilcox County,Alabama,14.4,0.9822
01133,Winston County,Alabama,8.6,0.8803
02013,Aleutians East Borough,Alaska,8.8,0.3699
02016,Aleutians West Census Area,Alaska,9.8,0.121
02020,Anchorage Municipality,Alaska,8,0.0643
02050,Bethel Census Area,Alaska,6.5,0.9188
02060,Bristol Bay Borough,Alaska,10.1,0.0408
02068,Denali Borough,Alaska,7.4,0.0732
02070,Dillingham Census Area,Alaska,10.1,0.7571
02090,Fairbanks North Star Borough,Alaska,6.6,0.1067
02100,Haines Borough,Alaska,8.3,0.0315
02105,Hoonah-Angoon Census Area,Alaska,7.6,0.4152
02110,Juneau City and Borough,Alaska,6.5,0.0121
02122,Kenai Peninsula Borough,Alaska,6.8,0.1624
02130,Ketchikan Gateway Borough,Alaska,9.4,0.1726
02150,Kodiak Island Borough,Alaska,8.5,0.1092
02164,Lake and Peninsula Borough,Alaska,7.9,0.7116
02170,Matanuska-Susitna Borough,Alaska,7.8,0.2184
02180,Nome Census Area,Alaska,8.5,0.8835
02185,North Slope Borough,Alaska,8.6,0.2929
02188,Northwest Arctic Borough,Alaska,8.9,0.8793
02195,Petersburg Borough,Alaska,6.9,0.0255
