Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
46113,Shannon County,South Dakota,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
15005,Kalawao County,Hawaii,9.8,No Data
09190,Western Connecticut Planning Region,Connecticut,No Data,No Data
02270,Wade Hampton Census Area,Alaska,No Data,No Data
02232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
09160,Northwest Hills Planning Region,Connecticut,No Data,No Data
09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
02201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
09110,Capitol Planning Region,Connecticut,No Data,No Data
02261,Valdez-Cordova Census Area,Alaska,7.8,No Data
02280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
54047,Mcdowell County,West Virginia,12.4,28972
46017,Buffalo County,South Dakota,12.8,30659
22035,East Carroll Parish,Louisiana,11.8,30688
28051,Holmes County,Mississippi,12.4,31972
21189,Owsley County,Kentucky,8.3,32783
05095,Monroe County,Arkansas,9.6,33090
28053,Humphreys County,Mississippi,11.2,33148
22107,Tensas Parish,Louisiana,9,33290
22065,Madison Parish,Louisiana,9.4,33403
01105,Perry County,Alabama,16.2,33585
01131,Wilcox County,Alabama,12.8,33682
28063,Jefferson County,Mississippi,11,33852
21013,Bell County,Kentucky,10.8,33923
21159,Martin County,Kentucky,9.7,34435
21051,Clay County,Kentucky,11.5,34473
21129,Lee County,Kentucky,12.5,34632
01119,Sumter County,Alabama,14.9,35152
05077,Lee County,Arkansas,9.4,35213
45005,Allendale County,South Carolina,15.9,35249
01047,Dallas County,Alabama,14.8,35258
48047,Brooks County,Texas,8.1,35359
21147,Mccreary County,Kentucky,11.5,35443
01063,Greene County,Alabama,12.7,35449
28083,Leflore County,Mississippi,13.8,35520
28021,Claiborne County,Mississippi,9.6,35591
21153,Magoffin County,Kentucky,9.3,35669
48427,Starr County,Texas,8.1,35758
54059,Mingo County,West Virginia,10.8,35761
01011,Bullock County,Alabama,10.3,35798
13309,Wheeler County,Georgia,9.7,35952
21095,Harlan County,Kentucky,13.6,36022
28027,Coahoma County,Mississippi,12.9,36071
05107,Phillips County,Arkansas,11.9,36098
01035,Conecuh County,Alabama,11.3,36106
48507,Zavala County,Texas,8.1,36237
21025,Breathitt County,Kentucky,12.2,36300
28125,Sharkey County,Mississippi,9.9,36375
21121,Knox County,Kentucky,12.1,36573
01087,Macon County,Alabama,11.7,36601
28103,Noxubee County,Mississippi,11.8,36608
28065,Jefferson Davis County,Mississippi,10.8,36642
21131,Leslie County,Kentucky,10.9,36666
28157,Wilkinson County,Mississippi,12.3,36798
28055,Issaquena County,Mississippi,9.2,36922
08023,Costilla County,Colorado,8,36970
45067,Marion County,South Carolina,14,37244
21071,Floyd County,Kentucky,10.4,37296
28143,Tunica County,Mississippi,11.4,37694
21237,Wolfe County,Kentucky,8.5,37718
45033,Dillon County,South Carolina,13.4,37752
22027,Claiborne Parish,Louisiana,8.4,37788
21133,Letcher County,Kentucky,13.6,37854
45009,Bamberg County,South Carolina,11.6,37952
13061,Clay County,Georgia,9.7,37961
47067,Hancock County,Tennessee,7.6,38024
05123,St. Francis County,Arkansas,13.4,38062
05129,Searcy County,Arkansas,8.4,38070
47095,Lake County,Tennessee,8.9,38088
05017,Chicot County,Arkansas,9.7,38217
28133,Sunflower County,Mississippi,12.5,38423
21119,Knott County,Kentucky,12.9,38456
29155,Pemiscot County,Missouri,9,38456
13141,Hancock County,Georgia,10.1,38570
22041,Franklin Parish,Louisiana,10.1,38584
35029,Luna County,New Mexico,10.1,38796
28135,Tallahatchie County,Mississippi,11.5,39009
45069,Marlboro County,South Carolina,12.6,39160
13243,Randolph County,Georgia,10.6,39188
40127,Pushmataha County,Oklahoma,11.3,39267
46031,Corson County,South Dakota,11,39329
21065,Estill County,Kentucky,10.1,39402
48505,Zapata County,Texas,8.1,39403
22067,Morehouse Parish,Louisiana,11.4,39493
28001,Adams County,Mississippi,10.6,39547
48229,Hudspeth County,Texas,8.2,39582
28163,Yazoo County,Mississippi,9.5,39620
51027,Buchanan County,Virginia,12,39652
29203,Shannon County,Missouri,7.7,39671
13037,Calhoun County,Georgia,9.8,39681
29069,Dunklin County,Missouri,8.8,39688
28151,Washington County,Mississippi,11.9,39690
45089,Williamsburg County,South Carolina,14.4,39757
