%Hispanic-Percent; NaturalBreaks
Data downloaded on 25-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2015-Percentage,%Hispanic-2017-Percentage
46113,Shannon County,South Dakota,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
09190,Western Connecticut Planning Region,Connecticut,No Data,No Data
09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
02063,Chugach Census Area,Alaska,No Data,No Data
09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
02270,Wade Hampton Census Area,Alaska,No Data,No Data
02232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
09110,Capitol Planning Region,Connecticut,No Data,No Data
02201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
09160,Northwest Hills Planning Region,Connecticut,No Data,No Data
09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
02066,Copper River Census Area,Alaska,No Data,No Data
02280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
47067,Hancock County,Tennessee,7.5,0.52
39111,Monroe County,Ohio,9.9,0.6
39121,Noble County,Ohio,8.2,0.6
54099,Wayne County,West Virginia,12.1,0.62
54005,Boone County,West Virginia,11.9,0.65
30051,Liberty County,Montana,7.9,0.66
54059,Mingo County,West Virginia,12,0.67
54043,Lincoln County,West Virginia,11.1,0.69
54109,Wyoming County,West Virginia,10.4,0.7
21135,Lewis County,Kentucky,11.8,0.71
51027,Buchanan County,Virginia,9.2,0.72
51021,Bland County,Virginia,8.3,0.72
54007,Braxton County,West Virginia,9,0.73
54053,Mason County,West Virginia,9.7,0.74
38095,Towner County,North Dakota,6.8,0.75
54093,Tucker County,West Virginia,7.1,0.75
31103,Keya Paha County,Nebraska,6.8,0.76
54101,Webster County,West Virginia,9.7,0.76
39105,Meigs County,Ohio,9.6,0.78
42005,Armstrong County,Pennsylvania,7.8,0.78
54105,Wirt County,West Virginia,9,0.78
54095,Tyler County,West Virginia,6.4,0.78
21115,Johnson County,Kentucky,12.1,0.79
54067,Nicholas County,West Virginia,8,0.79
39163,Vinton County,Ohio,10.7,0.8
54103,Wetzel County,West Virginia,8.9,0.8
21131,Leslie County,Kentucky,10,0.82
54015,Clay County,West Virginia,10.7,0.82
28063,Jefferson County,Mississippi,11,0.83
39135,Preble County,Ohio,8.5,0.83
54017,Doddridge County,West Virginia,8.6,0.83
21133,Letcher County,Kentucky,13.6,0.84
21129,Lee County,Kentucky,9.9,0.84
21071,Floyd County,Kentucky,11.5,0.85
42047,Elk County,Pennsylvania,7.1,0.85
54035,Jackson County,West Virginia,9,0.85
21109,Jackson County,Kentucky,8.9,0.86
54085,Ritchie County,West Virginia,8.8,0.88
54063,Monroe County,West Virginia,12.8,0.89
21203,Rockcastle County,Kentucky,9.3,0.9
39127,Perry County,Ohio,9.5,0.9
29151,Osage County,Missouri,8.3,0.91
42065,Jefferson County,Pennsylvania,7.9,0.91
54057,Mineral County,West Virginia,9.9,0.91
39073,Hocking County,Ohio,10.5,0.92
47151,Scott County,Tennessee,8.8,0.92
51051,Dickenson County,Virginia,9.8,0.92
39075,Holmes County,Ohio,8.1,0.93
42031,Clarion County,Pennsylvania,9.5,0.93
39115,Morgan County,Ohio,7.9,0.93
54009,Brooke County,West Virginia,11.1,0.93
54045,Logan County,West Virginia,14.6,0.93
21237,Wolfe County,Kentucky,8.4,0.96
38019,Cavalier County,North Dakota,7.2,0.96
51185,Tazewell County,Virginia,9.9,0.96
54083,Randolph County,West Virginia,9.4,0.96
54001,Barbour County,West Virginia,11.1,0.96
01023,Choctaw County,Alabama,11.2,0.97
28069,Kemper County,Mississippi,9.9,0.97
29103,Knox County,Missouri,7.8,0.98
39013,Belmont County,Ohio,9.7,0.98
55037,Florence County,Wisconsin,7.8,0.98
21095,Harlan County,Kentucky,13,0.99
21025,Breathitt County,Kentucky,11.6,0.99
29041,Chariton County,Missouri,7.7,0.99
21089,Greenup County,Kentucky,12.1,1
21193,Perry County,Kentucky,12.2,1
17173,Shelby County,Illinois,7.3,1
29045,Clark County,Missouri,8.5,1
31117,Mcpherson County,Nebraska,7.6,1
39001,Adams County,Ohio,8.3,1
54091,Taylor County,West Virginia,7.6,1
21195,Pike County,Kentucky,13.7,1.01
39015,Brown County,Ohio,10.6,1.01
21119,Knott County,Kentucky,11.1,1.03
39087,Lawrence County,Ohio,12.8,1.03
54051,Marshall County,West Virginia,9.2,1.03
28085,Lincoln County,Mississippi,9.3,1.04
28157,Wilkinson County,Mississippi,11.3,1.04
17035,Cumberland County,Illinois,7.3,1.05
29199,Scotland County,Missouri,6.9,1.05
