No Health Insurance-Percent; NaturalBreaks
Data downloaded on 27-October-2025
County_FIPS,County,State,Physical Inactivity-2014-Percentage,No Health Insurance-2012-2016-Percentage
46113,Shannon County,South Dakota,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
15005,Kalawao County,Hawaii,20,No Data
09190,Western Connecticut Planning Region,Connecticut,No Data,No Data
02066,Copper River Census Area,Alaska,No Data,No Data
02063,Chugach Census Area,Alaska,No Data,No Data
09160,Northwest Hills Planning Region,Connecticut,No Data,No Data
02270,Wade Hampton Census Area,Alaska,No Data,No Data
09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
02201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
09110,Capitol Planning Region,Connecticut,No Data,No Data
02280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
02232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
25021,Norfolk County,Massachusetts,16.5,2.1
25023,Plymouth County,Massachusetts,20.7,2.5
25015,Hampshire County,Massachusetts,15.3,2.6
25017,Middlesex County,Massachusetts,18.3,2.7
25011,Franklin County,Massachusetts,17.7,2.8
25027,Worcester County,Massachusetts,19.7,2.8
27019,Carver County,Minnesota,15.1,2.9
27163,Washington County,Minnesota,14.7,3
25001,Barnstable County,Massachusetts,13.6,3.1
35028,Los Alamos County,New Mexico,12.4,3.2
25003,Berkshire County,Massachusetts,18.9,3.3
19181,Warren County,Iowa,20.7,3.3
25009,Essex County,Massachusetts,19.8,3.3
25005,Bristol County,Massachusetts,23.4,3.3
19017,Bremer County,Iowa,18.9,3.4
27171,Wright County,Minnesota,18.8,3.4
44009,Washington County,Rhode Island,15.4,3.4
19075,Grundy County,Iowa,20,3.5
21185,Oldham County,Kentucky,18.5,3.5
44001,Bristol County,Rhode Island,17.7,3.5
44003,Kent County,Rhode Island,20.8,3.5
09013,Tolland County,Connecticut,16.8,3.6
17009,Brown County,Illinois,22.7,3.6
25013,Hampden County,Massachusetts,24.6,3.6
19113,Linn County,Iowa,21.8,3.6
55133,Waukesha County,Wisconsin,15.5,3.6
08035,Douglas County,Colorado,9.5,3.7
27015,Brown County,Minnesota,18.8,3.7
27139,Scott County,Minnesota,16.2,3.7
19049,Dallas County,Iowa,19.8,3.7
51610,Falls Church City,Virginia,18.2,3.7
19031,Cedar County,Iowa,22.9,3.8
17133,Monroe County,Illinois,22.3,3.8
19125,Marion County,Iowa,21.1,3.8
15003,Honolulu County,Hawaii,19,3.8
19027,Carroll County,Iowa,23.1,3.8
21015,Boone County,Kentucky,21.8,3.8
27141,Sherburne County,Minnesota,17.2,3.8
27103,Nicollet County,Minnesota,18.5,3.8
55089,Ozaukee County,Wisconsin,17.3,3.8
19099,Jasper County,Iowa,23.7,3.9
09007,Middlesex County,Connecticut,17.5,3.9
26093,Livingston County,Michigan,16.4,3.9
27039,Dodge County,Minnesota,18.4,3.9
39041,Delaware County,Ohio,15.7,3.9
25025,Suffolk County,Massachusetts,18.5,3.9
27025,Chisago County,Minnesota,19.6,3.9
44005,Newport County,Rhode Island,15.5,3.9
19095,Iowa County,Iowa,20.2,4
27037,Dakota County,Minnesota,16.2,4
19011,Benton County,Iowa,22,4
19129,Mills County,Iowa,21,4.1
17179,Tazewell County,Illinois,22.6,4.1
11001,District Of Columbia,District of Columbia,17.7,4.1
19015,Boone County,Iowa,19.9,4.1
25019,Nantucket County,Massachusetts,17.5,4.1
19045,Clinton County,Iowa,23.9,4.1
27009,Benton County,Minnesota,17.8,4.1
19059,Dickinson County,Iowa,17.7,4.1
19061,Dubuque County,Iowa,19.9,4.1
19189,Winnebago County,Iowa,21,4.1
19163,Scott County,Iowa,20.3,4.2
27147,Steele County,Minnesota,20.4,4.2
19033,Cerro Gordo County,Iowa,21.7,4.2
24009,Calvert County,Maryland,19.7,4.2
50007,Chittenden County,Vermont,14.6,4.2
27027,Clay County,Minnesota,19.6,4.2
25007,Dukes County,Massachusetts,16.6,4.2
55131,Washington County,Wisconsin,15.8,4.2
17063,Grundy County,Illinois,20.4,4.3
17113,Mclean County,Illinois,21.4,4.3
19191,Winneshiek County,Iowa,16.3,4.3
17203,Woodford County,Illinois,20.8,4.3
27137,St. Louis County,Minnesota,18.3,4.3
19111,Lee County,Iowa,21.2,4.3
36091,Saratoga County,New York,22.4,4.3
27075,Lake County,Minnesota,15.2,4.3
42019,Butler County,Pennsylvania,19.8,4.3
24013,Carroll County,Maryland,18.8,4.3
