Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Obesity-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
46113,Shannon County,South Dakota,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
15005,Kalawao County,Hawaii,25.6,No Data
09190,Western Connecticut Planning Region,Connecticut,No Data,No Data
02270,Wade Hampton Census Area,Alaska,No Data,No Data
02232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
09160,Northwest Hills Planning Region,Connecticut,No Data,No Data
09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
02201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
09110,Capitol Planning Region,Connecticut,No Data,No Data
02261,Valdez-Cordova Census Area,Alaska,27.2,No Data
02280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
54047,Mcdowell County,West Virginia,38.1,28972
46017,Buffalo County,South Dakota,32.8,30659
22035,East Carroll Parish,Louisiana,30.9,30688
28051,Holmes County,Mississippi,34.3,31972
21189,Owsley County,Kentucky,25.4,32783
05095,Monroe County,Arkansas,27.1,33090
28053,Humphreys County,Mississippi,29.9,33148
22107,Tensas Parish,Louisiana,27.6,33290
22065,Madison Parish,Louisiana,32.1,33403
01105,Perry County,Alabama,37.4,33585
01131,Wilcox County,Alabama,35.8,33682
28063,Jefferson County,Mississippi,30.5,33852
21013,Bell County,Kentucky,31.1,33923
21159,Martin County,Kentucky,31.9,34435
21051,Clay County,Kentucky,32.9,34473
21129,Lee County,Kentucky,28.6,34632
01119,Sumter County,Alabama,32.4,35152
05077,Lee County,Arkansas,29.5,35213
45005,Allendale County,South Carolina,33.2,35249
01047,Dallas County,Alabama,37,35258
48047,Brooks County,Texas,29.5,35359
21147,Mccreary County,Kentucky,26.8,35443
01063,Greene County,Alabama,34.2,35449
28083,Leflore County,Mississippi,36.8,35520
28021,Claiborne County,Mississippi,28.3,35591
21153,Magoffin County,Kentucky,28.6,35669
48427,Starr County,Texas,32.8,35758
54059,Mingo County,West Virginia,36.1,35761
01011,Bullock County,Alabama,26,35798
13309,Wheeler County,Georgia,29.7,35952
21095,Harlan County,Kentucky,32.1,36022
28027,Coahoma County,Mississippi,34.4,36071
05107,Phillips County,Arkansas,39.2,36098
01035,Conecuh County,Alabama,29.1,36106
48507,Zavala County,Texas,30.1,36237
21025,Breathitt County,Kentucky,34,36300
28125,Sharkey County,Mississippi,24.6,36375
21121,Knox County,Kentucky,34.4,36573
01087,Macon County,Alabama,29.8,36601
28103,Noxubee County,Mississippi,29.9,36608
28065,Jefferson Davis County,Mississippi,33.9,36642
21131,Leslie County,Kentucky,37.3,36666
28157,Wilkinson County,Mississippi,28,36798
28055,Issaquena County,Mississippi,24.9,36922
08023,Costilla County,Colorado,25.5,36970
45067,Marion County,South Carolina,34.5,37244
21071,Floyd County,Kentucky,34.5,37296
28143,Tunica County,Mississippi,28.1,37694
21237,Wolfe County,Kentucky,27.4,37718
45033,Dillon County,South Carolina,33.3,37752
22027,Claiborne Parish,Louisiana,26.5,37788
21133,Letcher County,Kentucky,33,37854
45009,Bamberg County,South Carolina,32.5,37952
13061,Clay County,Georgia,28.5,37961
47067,Hancock County,Tennessee,23.4,38024
05123,St. Francis County,Arkansas,35.4,38062
05129,Searcy County,Arkansas,25.4,38070
47095,Lake County,Tennessee,25.1,38088
05017,Chicot County,Arkansas,35.7,38217
28133,Sunflower County,Mississippi,35.5,38423
21119,Knott County,Kentucky,34.1,38456
29155,Pemiscot County,Missouri,26.6,38456
13141,Hancock County,Georgia,29.1,38570
22041,Franklin Parish,Louisiana,31.9,38584
35029,Luna County,New Mexico,26.4,38796
28135,Tallahatchie County,Mississippi,27.9,39009
45069,Marlboro County,South Carolina,35.5,39160
13243,Randolph County,Georgia,28.6,39188
40127,Pushmataha County,Oklahoma,26.8,39267
46031,Corson County,South Dakota,38.7,39329
21065,Estill County,Kentucky,28.9,39402
48505,Zapata County,Texas,28.9,39403
22067,Morehouse Parish,Louisiana,33.9,39493
28001,Adams County,Mississippi,33.7,39547
48229,Hudspeth County,Texas,29.5,39582
28163,Yazoo County,Mississippi,26.8,39620
51027,Buchanan County,Virginia,30.6,39652
29203,Shannon County,Missouri,24.1,39671
13037,Calhoun County,Georgia,30.6,39681
29069,Dunklin County,Missouri,28.4,39688
28151,Washington County,Mississippi,35.7,39690
45089,Williamsburg County,South Carolina,39.6,39757
