SVI Theme: Socioeconomic Status; Unemployed (Percentile); NaturalBreaks
Data downloaded on 25-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2015-Percentage,Unemployed-2014-Percentile
01001,Autauga County,Alabama,9,0.5174
01003,Baldwin County,Alabama,8.5,0.5288
01005,Barbour County,Alabama,13.2,0.9319
01007,Bibb County,Alabama,10.3,0.765
01009,Blount County,Alabama,10.1,0.6074
01011,Bullock County,Alabama,11.6,0.9787
01013,Butler County,Alabama,12.1,0.8497
01015,Calhoun County,Alabama,13,0.9105
01017,Chambers County,Alabama,10.9,0.8717
01019,Cherokee County,Alabama,7.8,0.6402
01021,Chilton County,Alabama,10.3,0.6546
01023,Choctaw County,Alabama,11.2,0.9061
01025,Clarke County,Alabama,12.2,0.9908
01027,Clay County,Alabama,9.4,0.765
01029,Cleburne County,Alabama,7.7,0.5288
01031,Coffee County,Alabama,11.4,0.3776
01033,Colbert County,Alabama,12.7,0.6804
01035,Conecuh County,Alabama,12.3,0.9978
01037,Coosa County,Alabama,9.2,0.9908
01039,Covington County,Alabama,9.7,0.7278
01041,Crenshaw County,Alabama,9.2,0.7491
01043,Cullman County,Alabama,13.2,0.5759
01045,Dale County,Alabama,11.8,0.7568
01047,Dallas County,Alabama,13.3,0.9828
01049,Dekalb County,Alabama,8.9,0.6301
01051,Elmore County,Alabama,9.6,0.5288
01053,Escambia County,Alabama,15.6,0.9647
01055,Etowah County,Alabama,11.5,0.7491
01057,Fayette County,Alabama,10.6,0.7982
01059,Franklin County,Alabama,9.5,0.6301
01061,Geneva County,Alabama,11.2,0.7491
01063,Greene County,Alabama,12.2,0.9975
01065,Hale County,Alabama,11.2,0.9061
01067,Henry County,Alabama,11.1,0.7813
01069,Houston County,Alabama,11.4,0.4706
01071,Jackson County,Alabama,9.6,0.7189
01073,Jefferson County,Alabama,11.3,0.6734
01075,Lamar County,Alabama,9.8,0.6546
01077,Lauderdale County,Alabama,10.2,0.4457
01079,Lawrence County,Alabama,9,0.8058
01081,Lee County,Alabama,8.7,0.5072
01083,Limestone County,Alabama,9.3,0.5072
01085,Lowndes County,Alabama,13.3,0.9713
01087,Macon County,Alabama,12.4,0.9876
01089,Madison County,Alabama,10,0.6402
01091,Marengo County,Alabama,13.3,0.773
01093,Marion County,Alabama,11.8,0.8058
01095,Marshall County,Alabama,10.2,0.6301
01097,Mobile County,Alabama,12.1,0.7813
01099,Monroe County,Alabama,10.7,0.9876
01101,Montgomery County,Alabama,10.9,0.5645
01103,Morgan County,Alabama,9.9,0.7568
01105,Perry County,Alabama,12.9,0.9828
01107,Pickens County,Alabama,10.9,0.9713
01109,Pike County,Alabama,9.5,0.6734
01111,Randolph County,Alabama,9.5,0.8058
01113,Russell County,Alabama,9.6,0.859
01117,Shelby County,Alabama,7.4,0.2576
01115,St. Clair County,Alabama,10.1,0.6301
01119,Sumter County,Alabama,13.9,0.9713
01121,Talladega County,Alabama,12.5,0.9462
01123,Tallapoosa County,Alabama,11.2,0.7077
01125,Tuscaloosa County,Alabama,11.9,0.482
