County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,54 ,53.9, 54.1,N/A , N/A , N/A,215307,falling,-1.8 ,-2.0, -1.7
"Union County, Florida(6)",12125,182.9 ,156.7, 212.5,N/A , 1 , 1,37,stable,-1.9 ,-4.1, 0.4
"Owsley County, Kentucky(7)",21189,141.9 ,102.4, 193.5,N/A , 1 , 92,9,stable,1.3 ,-1.5, 4.4
"Mississippi County, Missouri(6)",29133,132.3 ,109.5, 158.9,N/A , 1 , 14,24,stable,2.1 ,0.0, 4.4
"Carroll County, Kentucky(7)",21041,131.5 ,105.5, 162.4,N/A , 1 , 62,18,stable,0.6 ,-1.6, 3.1
"Perry County, Kentucky(7)",21193,127.7 ,111.3, 146,N/A , 1 , 36,46,stable,-1.2 ,-3.8, 1.3
"Martin County, Kentucky(7)",21159,126.4 ,101.4, 156.2,N/A , 1 , 77,19,stable,0.1 ,-1.9, 2.4
"Lawrence County, Arkansas(6)",05075,126.2 ,106.5, 148.8,N/A , 1 , 11,31,stable,1.2 ,-0.4, 2.8
"Floyd County, Kentucky(7)",21071,125.5 ,111.8, 140.5,N/A , 1 , 35,65,stable,-1.1 ,-2.2, 0.0
"Alexander County, Illinois(7)",17003,123.6 ,93.5, 162.3,N/A , 1 , 49,12,stable,-0.7 ,-4.1, 2.4
"Harlan County, Kentucky(7)",21095,123.6 ,107.8, 141.3,N/A , 1 , 42,47,stable,-0.9 ,-10.3, 0.7
"Hancock County, Tennessee(6)",47067,123.4 ,92.2, 162.7,N/A , 1 , 65,12,rising,3.4 ,1.0, 6.2
"Trousdale County, Tennessee(6)",47169,121.7 ,93.9, 155.2,N/A , 1 , 59,14,stable,1.0 ,-1.7, 4.1
"Powell County, Kentucky(7)",21197,120.7 ,97.1, 148.6,N/A , 1 , 78,19,stable,-0.1 ,-3.6, 3.7
"Clay County, Kentucky(7)",21051,119.7 ,101, 141.2,N/A , 1 , 59,30,stable,-0.2 ,-13.4, 5.1
"Livingston County, Kentucky(7)",21139,119.2 ,94.7, 149.3,N/A , 1 , 90,18,stable,1.1 ,-1.8, 4.3
"Breathitt County, Kentucky(7)",21025,116.7 ,94.8, 142.6,N/A , 1 , 85,21,stable,0.5 ,-3.3, 4.7
"Lake County, Tennessee(6)",47095,116.7 ,86.7, 154.7,N/A , 1 , 77,10,stable,1.4 ,-4.0, 7.6
"Rockcastle County, Kentucky(7)",21203,116.4 ,97.6, 138.2,N/A , 1 , 67,28,stable,0.3 ,-1.1, 1.8
"Knox County, Kentucky(7)",21121,116.1 ,101.7, 132,N/A , 1 , 52,49,stable,-0.4 ,-2.1, 1.5
"Leslie County, Kentucky(7)",21131,115.7 ,91.9, 144.6,N/A , 1 , 93,17,stable,-0.3 ,-3.0, 2.5
"Montgomery County, Kentucky(7)",21173,114.8 ,99.5, 131.9,N/A , 1 , 62,42,stable,0.7 ,-0.9, 2.5
"Pendleton County, Kentucky(7)",21191,114.7 ,93.4, 139.7,N/A , 1 , 90,22,stable,0.2 ,-1.9, 2.6
"Sharp County, Arkansas(6)",05135,113.9 ,97.1, 133.5,N/A , 1 , 19,36,rising,2.3 ,0.1, 4.7
"Whitley County, Kentucky(7)",21235,113 ,99.5, 127.9,N/A , 2 , 60,52,stable,-0.1 ,-2.0, 1.9
"Lawrence County, Kentucky(7)",21127,112.2 ,92.8, 134.8,N/A , 1 , 82,25,stable,-0.6 ,-1.9, 0.8
"Johnson County, Kentucky(7)",21115,112.2 ,96.2, 130.4,N/A , 1 , 69,37,stable,-0.3 ,-1.6, 1.0
"Union County, Tennessee(6)",47173,111.6 ,94.3, 131.6,N/A , 1 , 34,31,stable,0.8 ,-1.0, 2.9
"Mingo County, West Virginia(6)",54059,111.5 ,95.6, 129.5,N/A , 1 , 14,38,stable,-0.7 ,-2.5, 1.2
"Pike County, Kentucky(7)",21195,109.3 ,99.4, 120,N/A , 6 , 55,95,stable,-0.2 ,-1.5, 1.1
"Harrison County, Kentucky(7)",21097,109.2 ,91.8, 129.3,N/A , 2 , 86,29,stable,1.0 ,-0.9, 3.0
"Lewis County, West Virginia(6)",54041,109.2 ,90.9, 130.5,N/A , 1 , 21,26,stable,0.2 ,-2.6, 3.3
"Tunica County, Mississippi(6)",28143,108.8 ,80.4, 143.8,N/A , 1 , 58,11,stable,1.0 ,-2.0, 4.2
"Mason County, Illinois(7)",17125,108.2 ,89.4, 130.5,N/A , 1 , 39,24,stable,0.8 ,-0.7, 2.5
"Monroe County, Kentucky(7)",21171,108.2 ,86.4, 134.6,N/A , 1 , 104,17,stable,1.6 ,-2.1, 6.0
"Butler County, Kentucky(7)",21031,108 ,87.1, 132.9,N/A , 1 , 103,19,stable,-0.5 ,-3.1, 2.3
"Russell County, Kentucky(7)",21207,107.4 ,90.3, 127.2,N/A , 2 , 92,29,stable,-0.2 ,-1.7, 1.3
"Crawford County, Missouri(6)",29055,107.2 ,92.3, 124.1,N/A , 1 , 34,38,stable,1.4 ,0.0, 3.0
"Metcalfe County, Kentucky(7)",21169,107 ,84.7, 134.2,N/A , 1 , 108,16,stable,0.2 ,-2.0, 2.6
"Montgomery County, Missouri(6)",29139,106.8 ,85.3, 132.6,N/A , 1 , 55,18,rising,4.8 ,1.1, 18.1
"Wolfe County, Kentucky(7)",21237,106.5 ,80.4, 139.7,N/A , 1 , 115,12,stable,-1.3 ,-4.3, 7.3
"Gallatin County, Kentucky(7)",21077,106.4 ,79.7, 139.8,N/A , 1 , 114,11,stable,-1.2 ,-4.4, 2.2
"Estill County, Kentucky(7)",21065,106 ,87.1, 128.5,N/A , 1 , 100,23,falling,-13.2 ,-24.1, -0.2
"McCreary County, Kentucky(7)",21147,105.4 ,86.9, 127.1,N/A , 2 , 101,23,stable,-1.6 ,-3.7, 0.6
"North Slope Borough, Alaska(6)",02185,105.4 ,64.5, 159.4,N/A , 1 , 8,5,stable,0.7 ,-3.2, 5.6
"Clay County, Arkansas(6)",05021,105.4 ,87.3, 126.7,N/A , 1 , 36,25,stable,1.9 ,-0.9, 5.0
"Quitman County, Georgia(7)",13239,105.2 ,68, 165.9,N/A , 1 , 148,5,*,*,*,*
"Hart County, Kentucky(7)",21099,104.8 ,87.4, 125,N/A , 2 , 97,27,stable,0.7 ,-0.9, 2.6
"Edmonson County, Kentucky(7)",21061,104.8 ,84.7, 128.9,N/A , 1 , 105,20,stable,-1.0 ,-3.6, 1.7
"Hickman County, Tennessee(6)",47081,104.7 ,89.6, 121.9,N/A , 1 , 46,36,stable,0.8 ,-1.5, 3.5
"Roane County, West Virginia(6)",54087,104.6 ,85.3, 127.7,N/A , 1 , 29,22,stable,0.2 ,-3.1, 3.7
"Campbell County, Tennessee(6)",47013,104.4 ,93.1, 116.8,N/A , 1 , 29,65,stable,-0.4 ,-2.7, 2.0
"Rhea County, Tennessee(6)",47143,104.3 ,91.4, 118.7,N/A , 1 , 38,49,stable,0.5 ,-0.9, 2.0
"Logan County, West Virginia(6)",54045,104.2 ,91.6, 118.4,N/A , 1 , 17,53,stable,-0.6 ,-2.8, 1.6
"St. Francois County, Missouri(6)",29187,104.1 ,94.7, 114.3,N/A , 1 , 20,91,stable,0.6 ,-0.9, 2.3
"Meade County, Kentucky(7)",21163,103.9 ,88.8, 120.9,N/A , 3 , 87,36,stable,-0.1 ,-1.9, 2.0
"Lincoln County, West Virginia(6)",54043,102.9 ,87.3, 120.9,N/A , 1 , 23,32,stable,-1.5 ,-4.2, 1.1
"McDowell County, West Virginia(6)",54047,102.8 ,86.4, 121.9,N/A , 1 , 25,31,stable,-0.6 ,-2.1, 1.0
"Adair County, Kentucky(7)",21001,102.7 ,86, 122,N/A , 3 , 101,28,stable,0.1 ,-2.0, 2.5
"Logan County, Illinois(7)",17107,102.5 ,88.7, 118.2,N/A , 1 , 32,41,rising,2.8 ,1.3, 4.5
"Carlisle County, Kentucky(7)",21039,102.3 ,72.4, 142.6,N/A , 1 , 118,8,stable,-1.1 ,-5.7, 3.9
