sim_i,pair_indx,true_diff,e_vij,ARDP_vij,analysis_time,ARDP_time
1,1,FALSE,0.3868,0.1888,1.331,108.748
1,2,FALSE,0.39645,0.1672,1.331,108.748
1,3,TRUE,0.61315,0.1284,1.331,108.748
1,4,FALSE,0.46355,0.1908,1.331,108.748
1,5,TRUE,0.8842,0.540000000000001,1.331,108.748
1,6,TRUE,0.8847,0.6714,1.331,108.748
1,7,TRUE,0.8126,0.523,1.331,108.748
1,8,FALSE,0.3488,0.1882,1.331,108.748
1,9,FALSE,0.31555,0.1807,1.331,108.748
1,10,TRUE,0.7165,0.578799999999999,1.331,108.748
1,11,TRUE,0.472,0.2722,1.331,108.748
1,12,TRUE,0.4366,0.254,1.331,108.748
1,13,FALSE,0.32995,0.1495,1.331,108.748
1,14,TRUE,0.85575,0.7032,1.331,108.748
1,15,TRUE,0.6269,0.4947,1.331,108.748
1,16,TRUE,0.87705,0.6377,1.331,108.748
1,17,TRUE,0.6635,0.4503,1.331,108.748
1,18,TRUE,0.6098,0.1376,1.331,108.748
1,19,TRUE,0.3519,0.3333,1.331,108.748
1,20,TRUE,0.5406,0.1712,1.331,108.748
1,21,TRUE,0.8188,0.2943,1.331,108.748
1,22,FALSE,0.5089,0.333000000000001,1.331,108.748
1,23,TRUE,0.5085,0.2186,1.331,108.748
1,24,FALSE,0.3342,0.217299999999999,1.331,108.748
1,25,FALSE,0.40045,0.3343,1.331,108.748
1,26,FALSE,0.34775,0.3013,1.331,108.748
1,27,TRUE,0.72285,0.427600000000001,1.331,108.748
1,28,FALSE,0.324,0.1719,1.331,108.748
1,29,TRUE,0.60935,0.2742,1.331,108.748
1,30,TRUE,0.50835,0.2501,1.331,108.748
1,31,TRUE,0.39475,0.1657,1.331,108.748
1,32,FALSE,0.6041,0.307,1.331,108.748
1,33,TRUE,0.8774,0.4353,1.331,108.748
1,34,TRUE,0.65215,0.2498,1.331,108.748
1,35,FALSE,0.32645,0.1534,1.331,108.748
1,36,TRUE,0.4521,0.1271,1.331,108.748
1,37,TRUE,0.54035,0.2942,1.331,108.748
1,38,TRUE,0.54685,0.1894,1.331,108.748
1,39,FALSE,0.3345,0.142900000000001,1.331,108.748
1,40,TRUE,0.33975,0.1328,1.331,108.748
1,41,TRUE,0.42565,0.1239,1.331,108.748
1,42,TRUE,0.66725,0.358999999999999,1.331,108.748
1,43,TRUE,0.68295,0.2204,1.331,108.748
1,44,FALSE,0.3693,0.2633,1.331,108.748
1,45,FALSE,0.365,0.1408,1.331,108.748
1,46,TRUE,0.6879,0.2679,1.331,108.748
1,47,TRUE,0.39705,0.1544,1.331,108.748
1,48,FALSE,0.34855,0.2237,1.331,108.748
1,49,TRUE,0.4431,0.1648,1.331,108.748
1,50,FALSE,0.3133,0.2037,1.331,108.748
1,51,FALSE,0.32035,0.0868000000000001,1.331,108.748
1,52,TRUE,0.7541,0.224999999999999,1.331,108.748
1,53,FALSE,0.31035,0.2433,1.331,108.748
1,54,FALSE,0.35625,0.1697,1.331,108.748
1,55,FALSE,0.3146,0.2118,1.331,108.748
1,56,TRUE,0.78635,0.2421,1.331,108.748
1,57,FALSE,0.35175,0.2855,1.331,108.748
1,58,TRUE,0.40605,0.1964,1.331,108.748
1,59,TRUE,0.5169,0.2143,1.331,108.748
