sim_i,pair_indx,true_diff,e_vij,ARDP_vij,analysis_time,ARDP_time
1,1,FALSE,0.5525,0.1933,1.559,119.413
1,2,FALSE,0.4113,0.1753,1.559,119.413
1,3,TRUE,0.5368,0.1385,1.559,119.413
1,4,FALSE,0.6663,0.139100000000001,1.559,119.413
1,5,TRUE,0.8523,0.174500000000001,1.559,119.413
1,6,TRUE,0.87375,0.229499999999999,1.559,119.413
1,7,TRUE,0.59995,0.1863,1.559,119.413
1,8,FALSE,0.37745,0.1506,1.559,119.413
1,9,FALSE,0.43085,0.1674,1.559,119.413
1,10,TRUE,0.49505,0.1638,1.559,119.413
1,11,TRUE,0.3731,0.1511,1.559,119.413
1,12,TRUE,0.73365,0.1264,1.559,119.413
1,13,FALSE,0.37035,0.1605,1.559,119.413
1,14,TRUE,0.80985,0.2005,1.559,119.413
1,15,TRUE,0.3617,0.1474,1.559,119.413
1,16,TRUE,0.8081,0.1815,1.559,119.413
1,17,TRUE,0.4491,0.1553,1.559,119.413
1,18,TRUE,0.7265,0.1174,1.559,119.413
1,19,TRUE,0.3613,0.1552,1.559,119.413
1,20,TRUE,0.45375,0.1288,1.559,119.413
1,21,TRUE,0.6427,0.1163,1.559,119.413
1,22,FALSE,0.7114,0.1437,1.559,119.413
1,23,TRUE,0.35815,0.1123,1.559,119.413
1,24,FALSE,0.39855,0.1298,1.559,119.413
1,25,FALSE,0.49305,0.1388,1.559,119.413
1,26,FALSE,0.4645,0.136100000000001,1.559,119.413
1,27,TRUE,0.7724,0.1405,1.559,119.413
1,28,FALSE,0.32375,0.0998999999999999,1.559,119.413
1,29,TRUE,0.44295,0.1229,1.559,119.413
1,30,TRUE,0.65165,0.1245,1.559,119.413
1,31,TRUE,0.40075,0.0976000000000001,1.559,119.413
1,32,FALSE,0.805,0.191,1.559,119.413
1,33,TRUE,0.87945,0.2206,1.559,119.413
1,34,TRUE,0.6754,0.1171,1.559,119.413
1,35,FALSE,0.33005,0.1349,1.559,119.413
1,36,TRUE,0.4366,0.1031,1.559,119.413
1,37,TRUE,0.4477,0.1468,1.559,119.413
1,38,TRUE,0.5947,0.1162,1.559,119.413
1,39,FALSE,0.33485,0.0967999999999999,1.559,119.413
1,40,TRUE,0.4905,0.122,1.559,119.413
1,41,TRUE,0.32395,0.1285,1.559,119.413
1,42,TRUE,0.44485,0.143,1.559,119.413
1,43,TRUE,0.4832,0.1338,1.559,119.413
1,44,FALSE,0.5423,0.1241,1.559,119.413
1,45,FALSE,0.4424,0.0908999999999997,1.559,119.413
1,46,TRUE,0.6542,0.1361,1.559,119.413
1,47,TRUE,0.39745,0.1195,1.559,119.413
1,48,FALSE,0.45935,0.136400000000001,1.559,119.413
1,49,TRUE,0.5614,0.11,1.559,119.413
1,50,FALSE,0.3258,0.1285,1.559,119.413
1,51,FALSE,0.3362,0.1291,1.559,119.413
1,52,TRUE,0.76105,0.1432,1.559,119.413
1,53,FALSE,0.33825,0.1054,1.559,119.413
1,54,FALSE,0.4833,0.1002,1.559,119.413
1,55,FALSE,0.32505,0.133399999999999,1.559,119.413
1,56,TRUE,0.78535,0.1455,1.559,119.413
1,57,FALSE,0.41595,0.1351,1.559,119.413
1,58,TRUE,0.3292,0.1019,1.559,119.413
1,59,TRUE,0.65665,0.1369,1.559,119.413
1,60,TRUE,0.48455,0.1671,1.559,119.413
1,61,TRUE,0.4555,0.102800000000001,1.559,119.413
1,62,TRUE,0.8187,0.1889,1.559,119.413
1,63,TRUE,0.86435,0.2126,1.559,119.413
1,64,TRUE,0.74475,0.1158,1.559,119.413
1,65,TRUE,0.5161,0.1281,1.559,119.413
1,66,TRUE,0.65225,0.0981000000000001,1.559,119.413
1,67,FALSE,0.4192,0.1826,1.559,119.413
1,68,FALSE,0.45905,0.1428,1.559,119.413
1,69,TRUE,0.3531,0.1181,1.559,119.413
1,70,TRUE,0.4439,0.1243,1.559,119.413
1,71,FALSE,0.38945,0.1348,1.559,119.413
1,72,TRUE,0.33215,0.1508,1.559,119.413
1,73,FALSE,0.6231,0.1562,1.559,119.413
1,74,TRUE,0.54945,0.2222,1.559,119.413
1,75,FALSE,0.44435,0.114,1.559,119.413
1,76,FALSE,0.3394,0.1027,1.559,119.413
1,77,TRUE,0.7347,0.2054,1.559,119.413
1,78,TRUE,0.37545,0.161,1.559,119.413
1,79,FALSE,0.52135,0.1307,1.559,119.413
1,80,FALSE,0.6347,0.19,1.559,119.413
1,81,FALSE,0.38765,0.1571,1.559,119.413
1,82,TRUE,0.38015,0.1609,1.559,119.413
1,83,FALSE,0.3746,0.1308,1.559,119.413
1,84,TRUE,0.5147,0.1944,1.559,119.413
