i,j,vij,e
1,11,1,1.30113953118161
1,24,0.9922,1.30113953118161
1,26,0.997,1.30113953118161
1,43,0.9822,1.30113953118161
1,51,0.3686,1.30113953118161
2,13,0.3469,1.30113953118161
2,27,0.5702,1.30113953118161
2,49,0.537,1.30113953118161
2,50,0.9951,1.30113953118161
2,307,0.4233,1.30113953118161
3,6,0.9708,1.30113953118161
3,23,0.5805,1.30113953118161
3,34,0.5891,1.30113953118161
3,55,0.1902,1.30113953118161
3,57,0.6126,1.30113953118161
3,477,0.9903,1.30113953118161
3,487,0.2367,1.30113953118161
4,11,0.3081,1.30113953118161
4,33,0.5311,1.30113953118161
4,37,0.3193,1.30113953118161
4,53,0.2029,1.30113953118161
4,58,0.2076,1.30113953118161
4,63,0.5274,1.30113953118161
5,22,0.4128,1.30113953118161
5,28,0.9456,1.30113953118161
5,37,0.9995,1.30113953118161
5,48,0.5669,1.30113953118161
5,59,0.9878,1.30113953118161
5,64,0.6836,1.30113953118161
6,44,0.9835,1.30113953118161
6,51,0.2156,1.30113953118161
6,55,0.9719,1.30113953118161
6,57,1,1.30113953118161
7,18,0.728,1.30113953118161
7,20,0.3621,1.30113953118161
7,21,0.772,1.30113953118161
7,43,0.8776,1.30113953118161
7,50,0.7889,1.30113953118161
7,66,0.1943,1.30113953118161
8,10,0.3108,1.30113953118161
8,15,0.9991,1.30113953118161
8,28,0.2034,1.30113953118161
8,59,0.218,1.30113953118161
8,61,0.7,1.30113953118161
9,41,0.5291,1.30113953118161
9,56,0.9345,1.30113953118161
9,62,0.4067,1.30113953118161
9,431,0.8964,1.30113953118161
9,500,0.5148,1.30113953118161
10,15,0.9904,1.30113953118161
10,25,0.9987,1.30113953118161
10,28,0.2401,1.30113953118161
10,386,0.6725,1.30113953118161
10,400,0.2265,1.30113953118161
10,416,1,1.30113953118161
10,474,0.606,1.30113953118161
10,505,0.458,1.30113953118161
11,19,0.2302,1.30113953118161
11,24,0.7758,1.30113953118161
11,26,0.6675,1.30113953118161
11,53,0.3738,1.30113953118161
11,58,0.3929,1.30113953118161
12,13,0.7255,1.30113953118161
12,46,0.1911,1.30113953118161
12,60,0.349,1.30113953118161
12,65,0.8833,1.30113953118161
12,1379,0.9036,1.30113953118161
12,1405,0.2022,1.30113953118161
12,1444,0.2019,1.30113953118161
13,46,0.6899,1.30113953118161
13,49,0.8361,1.30113953118161
13,50,0.9634,1.30113953118161
13,65,0.2715,1.30113953118161
13,66,0.3411,1.30113953118161
14,15,0.2602,1.30113953118161
14,19,0.9993,1.30113953118161
14,56,1,1.30113953118161
14,61,0.9587,1.30113953118161
14,62,0.9946,1.30113953118161
15,56,0.9999,1.30113953118161
15,61,0.8909,1.30113953118161
15,381,0.9123,1.30113953118161
15,430,0.9998,1.30113953118161
15,474,0.9999,1.30113953118161
16,20,0.3057,1.30113953118161
16,21,0.7251,1.30113953118161
16,23,0.9404,1.30113953118161
16,31,0.9499,1.30113953118161
16,55,0.5568,1.30113953118161
17,30,0.1924,1.30113953118161
17,39,0.4857,1.30113953118161
17,40,1,1.30113953118161
17,1438,0.6367,1.30113953118161
18,20,0.9361,1.30113953118161
18,27,1,1.30113953118161
18,50,0.1968,1.30113953118161
19,26,0.7844,1.30113953118161
19,58,0.5381,1.30113953118161
19,61,0.5772,1.30113953118161
19,62,0.297,1.30113953118161
20,21,0.4546,1.30113953118161
20,27,0.866,1.30113953118161
20,31,0.8248,1.30113953118161
20,337,0.9997,1.30113953118161
20,358,0.9898,1.30113953118161
21,43,0.2225,1.30113953118161
21,51,0.9968,1.30113953118161
21,55,0.2348,1.30113953118161
22,40,0.9533,1.30113953118161
22,48,0.2337,1.30113953118161
22,52,0.1908,1.30113953118161
22,64,0.3094,1.30113953118161
22,67,0.9917,1.30113953118161
23,31,0.1883,1.30113953118161
23,34,0.9547,1.30113953118161
23,35,0.3554,1.30113953118161
23,55,0.5812,1.30113953118161
24,43,0.2147,1.30113953118161
24,46,0.1934,1.30113953118161
24,53,0.4172,1.30113953118161
24,66,0.9044,1.30113953118161
25,28,0.9927,1.30113953118161
25,36,0.4555,1.30113953118161
25,48,0.9998,1.30113953118161
25,400,0.9935,1.30113953118161
25,505,0.9601,1.30113953118161
26,44,0.4795,1.30113953118161
26,51,1,1.30113953118161
26,62,0.9336,1.30113953118161
27,50,1,1.30113953118161
27,307,0.8882,1.30113953118161
27,337,0.8338,1.30113953118161
27,347,0.587,1.30113953118161
28,48,0.559,1.30113953118161
28,59,0.2849,1.30113953118161
29,38,0.2042,1.30113953118161
29,47,0.3508,1.30113953118161
29,54,0.6539,1.30113953118161
29,63,0.728,1.30113953118161
29,64,0.6153,1.30113953118161
30,40,1,1.30113953118161
30,47,0.773,1.30113953118161
30,67,0.2147,1.30113953118161
30,1396,0.245,1.30113953118161
30,1438,0.6358,1.30113953118161
31,35,0.3719,1.30113953118161
31,320,0.9265,1.30113953118161
31,322,0.3049,1.30113953118161
31,358,0.5089,1.30113953118161
32,33,0.9991,1.30113953118161
32,46,0.6301,1.30113953118161
32,54,0.6876,1.30113953118161
32,60,0.3489,1.30113953118161
32,63,0.6112,1.30113953118161
33,46,0.9175,1.30113953118161
33,53,0.6074,1.30113953118161
33,63,0.923,1.30113953118161
34,35,0.7915,1.30113953118161
34,389,0.2802,1.30113953118161
34,408,0.2225,1.30113953118161
34,477,1,1.30113953118161
35,322,0.6432,1.30113953118161
35,408,0.6801,1.30113953118161
35,484,0.6354,1.30113953118161
36,45,0.815,1.30113953118161
36,48,0.9973,1.30113953118161
36,400,0.9127,1.30113953118161
36,2422,0.9881,1.30113953118161
36,2448,0.9972,1.30113953118161
36,2452,0.9889,1.30113953118161
37,58,0.2543,1.30113953118161
37,59,0.4562,1.30113953118161
37,63,0.2602,1.30113953118161
37,64,0.9507,1.30113953118161
38,47,0.4018,1.30113953118161
38,54,0.6083,1.30113953118161
38,1411,0.976,1.30113953118161
38,1415,0.6319,1.30113953118161
39,40,1,1.30113953118161
39,42,0.9991,1.30113953118161
39,1438,0.2267,1.30113953118161
39,2424,0.1919,1.30113953118161
39,2432,0.9058,1.30113953118161
39,2446,1,1.30113953118161
39,2487,0.4974,1.30113953118161
40,42,0.3097,1.30113953118161
40,52,0.9433,1.30113953118161
40,67,1,1.30113953118161
41,44,0.9903,1.30113953118161
41,57,0.8517,1.30113953118161
41,62,0.2215,1.30113953118161
41,431,0.4673,1.30113953118161
41,465,0.843,1.30113953118161
42,45,0.9989,1.30113953118161
42,52,0.7899,1.30113953118161
42,2424,0.9992,1.30113953118161
42,2448,0.9013,1.30113953118161
43,51,0.9993,1.30113953118161
43,66,0.8509,1.30113953118161
44,51,0.9919,1.30113953118161
44,57,0.5193,1.30113953118161
44,62,0.996,1.30113953118161
45,48,0.686,1.30113953118161
45,52,0.8388,1.30113953118161
45,2422,0.4891,1.30113953118161
45,2448,0.7105,1.30113953118161
46,53,0.4313,1.30113953118161
46,60,0.311,1.30113953118161
46,66,0.9017,1.30113953118161
47,64,0.299,1.30113953118161
47,67,0.8497,1.30113953118161
47,1396,0.5997,1.30113953118161
47,1415,0.9156,1.30113953118161
48,52,0.2456,1.30113953118161
49,65,0.9397,1.30113953118161
49,1387,0.9752,1.30113953118161
49,1388,0.2376,1.30113953118161
49,1397,0.9767,1.30113953118161
50,66,0.822,1.30113953118161
51,55,0.9869,1.30113953118161
54,60,0.3667,1.30113953118161
54,63,0.2027,1.30113953118161
54,1411,0.6655,1.30113953118161
54,1419,0.2916,1.30113953118161
56,62,0.6894,1.30113953118161
56,381,0.8852,1.30113953118161
56,433,0.9942,1.30113953118161
